,Estudiantes Mujeres,Egresados Mujeres,Año,Carrera,Reinscriptos Mujeres,Título,Egresados Varones,Unidad Académica,Total de Nuevos Inscriptos,Total de Estudiantes,Total de Egresados,Institución,Total de Reinscriptos,Estudiantes Varones,Nivel de la Oferta,Nuevos Inscriptos Varones,Reinscriptos Varones,Nuevas Inscriptas Mujeres,Gestión,Tipo de Institución
,26,2,2013,"Computación, Sistemas e Informática",22,Analista Programador Universitario,7,Facultad de Ingeniería - Sede Trelew,25,128,9,Universidad Nacional de la Patagonia San Juan Bosco,103,102,Pregrado            ,21,81,4,Estatal                                           ,Universidad                                       
,2,1,2013,"Computación, Sistemas e Informática",2,Analista Programador Universitario,1,Facultad de Ingeniería - Sede Ushuaia,,14,2,Universidad Nacional de la Patagonia San Juan Bosco,14,12,Pregrado            ,,12,,Estatal                                           ,Universidad                                       
,,9,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,61,Facultad de Ciencias Exactas,,,70,Universidad Nacional del Centro de la Provincia de Buenos Aires,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2013,"Computación, Sistemas e Informática",,Analista Programador Universitario,5,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,6,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,11,2013,"Computación, Sistemas e Informática",,Programador Universitario de Aplicaciones,31,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,42,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,,2014,"Computación, Sistemas e Informática",,Programador Universitario,1,Facultad de Ingeniería,,,1,Universidad Católica de Salta,,,Pregrado            ,,,,Privada                                           ,Universidad                                       
,16,,2014,"Computación, Sistemas e Informática",9,Analista Programador Universitario,1,"Departamento de Economía, Producción e Innovación Tecnológica",41,90,1,Universidad Nacional José C. Paz,49,74,Pregrado            ,34,40,7,Estatal                                           ,Universidad                                       
,129,11,2014,"Computación, Sistemas e Informática",101,Analista Programador Universitario,17,Facultad de Ingeniería,127,565,28,Universidad Nacional de Jujuy,438,436,Pregrado            ,99,337,28,Estatal                                           ,Universidad                                       
,,2,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,36,Departamento de Ingeniería e Investigaciones Tecnológicas,,,38,Universidad Nacional de La Matanza,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,207,10,2014,"Computación, Sistemas e Informática",154,Analista Programador Universitario,73,Facultad de Informática,257,"1,063",83,Universidad Nacional de La Plata,806,856,Pregrado            ,204,652,53,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,9,Departamento de Desarrollo Productivo y Tecnológico,,,10,Universidad Nacional de Lanús,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,1,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,4,Rectorado,,,5,Universidad Nacional de Luján,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,3,,2014,"Computación, Sistemas e Informática",3,Programador Universitario,,"Facultad de Ciencias Exactas, Físicas y Naturales",,8,,Universidad Nacional de San Juan,8,5,Pregrado            ,,5,,Estatal                                           ,Universidad                                       
,,3,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,9,Facultad de Cs. Físico-Matemáticas y Naturales,,,12,Universidad Nacional de San Luis,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,70,,2014,"Computación, Sistemas e Informática",51,Programador Universitario en Informática,3,Facultad de Ciencias  Exactas y Tecnológicas,79,275,3,Universidad Nacional de Santiago del Estero,196,205,Pregrado            ,60,145,19,Estatal                                           ,Universidad                                       
,30,,2014,"Computación, Sistemas e Informática",21,Programador Universitario,1,Facultad de Ciencias Exactas y Tecnología,30,154,1,Universidad Nacional de Tucumán,124,124,Pregrado            ,21,103,9,Estatal                                           ,Universidad                                       
,6,,2014,"Computación, Sistemas e Informática",,Programador Universitario de Sistemas,,Escuela de Ingenieria,31,31,,Universidad Nacional de Villa Mercedes,,25,Pregrado            ,25,,6,Estatal                                           ,Universidad                                       
,4,1,2014,"Computación, Sistemas e Informática",2,Analista Programador Universitario,4,Facultad de Ingenieria - Sede Puerto Madryn,9,60,5,Universidad Nacional de la Patagonia San Juan Bosco,51,56,Pregrado            ,7,49,2,Estatal                                           ,Universidad                                       
,29,4,2014,"Computación, Sistemas e Informática",27,Analista Programador Universitario,9,Facultad de Ingeniería - Sede Comodoro Rivadavia,34,134,13,Universidad Nacional de la Patagonia San Juan Bosco,100,105,Pregrado            ,32,73,2,Estatal                                           ,Universidad                                       
,23,3,2014,"Computación, Sistemas e Informática",16,Analista Programador Universitario,7,Facultad de Ingeniería - Sede Trelew,44,126,10,Universidad Nacional de la Patagonia San Juan Bosco,82,103,Pregrado            ,37,66,7,Estatal                                           ,Universidad                                       
,1,1,2014,"Computación, Sistemas e Informática",1,Analista Programador Universitario,2,Facultad de Ingeniería - Sede Ushuaia,,5,3,Universidad Nacional de la Patagonia San Juan Bosco,5,4,Pregrado            ,,4,,Estatal                                           ,Universidad                                       
,,12,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,63,Facultad de Ciencias Exactas,,,75,Universidad Nacional del Centro de la Provincia de Buenos Aires,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
,,4,2014,"Computación, Sistemas e Informática",,Analista Programador Universitario,12,Facultad de Ciencias Exactas y Naturales y Agrimensura,,,16,Universidad Nacional del Nordeste,,,Pregrado            ,,,,Estatal                                           ,Universidad                                       
